id,lang_name,word,japanese
1,en,the,インクルード
2,en,of,の
3,en,and,そして
4,en,to,に
5,en,in,に
6,en,i,私
7,en,that,それ
8,en,was,ました
9,en,his,彼の
10,en,he,彼
11,en,it,それ
12,en,with,とともに
13,en,is,あります
14,en,for,にとって
15,en,as,なので
16,en,had,持っていました
17,en,you,君は
18,en,not,ではありません
19,en,be,されます
20,en,her,彼女の
21,en,on,オン
22,en,at,に
23,en,by,沿って
24,en,which,これ
25,en,have,持ってる
26,en,or,若しくは
27,en,from,から
28,en,this,この
29,en,him,彼を
30,en,but,だが
31,en,all,すべて
32,en,she,彼女
33,en,they,彼ら
34,en,were,ました
35,en,my,じぶんの
36,en,are,あります
37,en,me,私に
38,en,one,1
39,en,their,彼らの
40,en,so,そう
41,en,an,AN
42,en,said,前記
43,en,them,それら
44,en,we,我々
45,en,who,WHO
46,en,would,でしょう
47,en,been,き
48,en,will,意志
49,en,no,番号
50,en,when,いつ
51,en,there,そこ
52,en,if,もし
53,en,more,もっと
54,en,out,でる
55,en,up,アップ
56,en,into,に
57,en,do,行う
58,en,any,どれか
59,en,your,君の
60,en,what,何
61,en,has,持っています
62,en,man,おとこ
63,en,could,たぶん......だろう
64,en,other,他の
65,en,than,より
66,en,our,私達の
67,en,some,いくつか
68,en,very,非常に
69,en,time,時間
70,en,upon,に
71,en,about,約
72,en,may,五月
73,en,its,それの
74,en,only,のみ
75,en,now,今
76,en,like,お気に入り
77,en,little,少し
78,en,then,それから
79,en,can,できる
80,en,should,SHOULD
81,en,made,製
82,en,did,した
83,en,us,我ら
84,en,such,そのような
85,en,a,A
86,en,great,すごい
87,en,before,前
88,en,must,必見
89,en,two,二
90,en,these,これら
91,en,see,見る
92,en,know,知っています
93,en,over,オーバー
94,en,much,はるかに
95,en,down,ダウン
96,en,after,後に
97,en,first,最初
98,en,Mr,氏
99,en,good,良い
100,en,men,男性
101,en,own,自分の
102,en,never,決して
103,en,most,最も
104,en,old,古い
105,en,shall,条
106,en,day,日
107,en,where,どこ
108,en,those,それら
109,en,came,来ました
110,en,come,来ます
111,en,himself,彼自身
112,en,way,仕方
113,en,work,作業
114,en,life,生活
115,en,without,無し
116,en,go,行きます
117,en,make,メイク
118,en,well,上手
119,en,through,使って
120,en,being,であること
121,en,long,長いです
122,en,say,いう
123,en,might,かもしれません
124,en,how,どうやって
125,en,am,午前
126,en,too,余りに
127,en,even,さえ
128,en,def,デフ
129,en,again,再び
130,en,many,たくさんの
131,en,back,バック
132,en,here,ここに
133,en,think,考えます
134,en,every,すべての
135,en,people,人
136,en,went,行ってきました
137,en,same,同じ
138,en,last,最終
139,en,thought,思想
140,en,away,先に
141,en,under,下
142,en,take,取る
143,en,found,ました
144,en,hand,手
145,en,eyes,視線
146,en,still,やはり
147,en,place,場所
148,en,while,同時に
149,en,just,ただ
150,en,also,さらに
151,en,young,若い
152,en,yet,未だ
153,en,though,にもかかわらず
154,en,against,に対して
155,en,things,物事
156,en,get,取得する
157,en,ever,今までに
158,en,give,与える
159,en,god,神
160,en,years,年
161,en,off,オフ
162,en,face,面
163,en,nothing,何も
164,en,right,正しい
165,en,once,一度
166,en,another,別の
167,en,left,左
168,en,part,部
169,en,saw,鋸
170,en,house,家
171,en,world,世界
172,en,head,頭
173,en,three,三
174,en,took,取った
175,en,new,新着
176,en,love,愛する
177,en,always,常に
178,en,Mrs,夫人
179,en,put,置きます
180,en,night,夜
181,en,each,各
182,en,king,キング
183,en,between,の間に
184,en,tell,伝えます
185,en,mind,マインド
186,en,heart,ハート
187,en,few,少数
188,en,because,なぜなら
189,en,thing,事
190,en,whom,誰
191,en,far,遥か
192,en,seemed,見えました
193,en,looked,見えました
194,en,called,呼ばれます
195,en,whole,全体
196,en,de,デ
197,en,set,セットする
198,en,both,どちらも
199,en,got,GOT
200,en,find,見つけます
201,en,done,行われ
202,en,heard,聞いた
203,en,look,外観
204,en,name,名前
205,en,days,日々
206,en,told,話しました
207,en,let,てみましょう
208,en,lord,主
209,en,country,国
210,en,asked,尋ね
211,en,going,行き
212,en,seen,見て
213,en,better,よりよいです
214,en,p,P
215,en,having,ました
216,en,home,家
217,en,knew,知っていました
218,en,side,側
219,en,something,何か
220,en,moment,瞬間
221,en,father,お父さん
222,en,among,間で
223,en,course,コース
224,en,hands,手
225,en,woman,女性
226,en,enough,足りる
227,en,words,言葉
228,en,mother,母
229,en,soon,やがて
230,en,full,いっぱい
231,en,end,終わり
232,en,gave,与えました
233,en,room,ルーム
234,en,almost,ほとんど
235,en,small,小さい
236,en,thou,あなた
237,en,cannot,できません
238,en,water,水
239,en,want,欲しいです
240,en,however,しかしながら
241,en,light,光
242,en,quite,かなり
243,en,brought,持ってきた
244,en,nor,も
245,en,word,語
246,en,whose,その
247,en,given,所与
248,en,door,ドア
249,en,best,ベスト
250,en,turned,投入
251,en,taken,とら
252,en,does,し
253,en,use,使用する
254,en,morning,朝
255,en,myself,私自身
256,en,Gutenberg,グーテンベルク
257,en,felt,フェルト
258,en,until,まで
259,en,since,から
260,en,power,パワー
261,en,themselves,自分自身
262,en,used,中古
263,en,rather,かなり
264,en,began,始めた
265,en,present,現在
266,en,voice,ボイス
267,en,others,他人
268,en,white,白い
269,en,works,ワークス
270,en,less,もっと少なく
271,en,money,お金
272,en,next,次
273,en,poor,貧しいです
274,en,death,死
275,en,stood,立っ
276,en,form,形
277,en,within,以内に
278,en,together,一緒
279,en,till,迄
280,en,thy,なた
281,en,large,大
282,en,matter,案件
283,en,kind,種類
284,en,often,しばしば
285,en,certain,一定
286,en,herself,彼女自身
287,en,year,年
288,en,friend,友人
289,en,half,ハーフ
290,en,order,注文
291,en,round,円形
292,en,TRUE,TRUE
293,en,anything,何でも
294,en,keep,保つ
295,en,sent,送信
296,en,wife,妻
297,en,means,手段
298,en,believe,信じます
299,en,passed,合格しました
300,en,feet,足
301,en,near,近く
302,en,public,公衆
303,en,state,状態
304,en,son,息子
305,en,hundred,百
306,en,children,子供達
307,en,thus,こうして
308,en,hope,望む
309,en,alone,一人で
310,en,above,上記
311,en,case,場合
312,en,dear,親愛な
313,en,thee,なた
314,en,says,言います
315,en,person,人
316,en,high,高い
317,en,read,読んだ
318,en,city,市
319,en,already,既に
320,en,received,受け
321,en,fact,事実
322,en,gone,ゴーン
323,en,girl,女の子
324,en,known,知られています
325,en,hear,聞く
326,en,times,回
327,en,least,最低
328,en,perhaps,多分
329,en,sure,承知しました
330,en,indeed,確かに
331,en,english,英語
332,en,open,開いた
333,en,body,体
334,en,itself,自体
335,en,along,沿って
336,en,land,土地
337,en,return,リターン
338,en,leave,休暇
339,en,air,空気
340,en,nature,自然
341,en,answered,答え
342,en,either,どちらか
343,en,law,法律
344,en,help,助けて
345,en,lay,素人
346,en,point,ポイント
347,en,child,子
